model,mode,probe,image_id,level,n_persons_gt,rep,n_input,n_generated,n_think_tokens,n_answer_tokens,latency_ms,tokens_per_second,budget_hit,think_closed,termination_class,parsed_answer,parse_status,correct
qwen3vl4b,instruct,main,180487,L2,2,0,348,2,0,2,92.6,21.6,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,284764,L1,1,2,348,2,0,2,93.1,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,126137,L4,13,0,348,3,0,3,112.9,26.6,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,277020,L3,4,0,348,2,0,2,92.5,21.6,False,False,complete,4,ok,True
qwen3vl4b,instruct,main,31093,L2,3,1,348,2,0,2,92.8,21.5,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,130699,L3,7,0,348,2,0,2,93.2,21.5,False,False,complete,6,ok,False
qwen3vl4b,instruct,main,201426,L2,2,2,348,2,0,2,93.4,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,402774,L1,1,2,348,2,0,2,94.4,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,169076,L2,2,1,348,2,0,2,95.9,20.8,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,506656,L1,1,0,348,2,0,2,95.0,21.1,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,1584,L4,11,0,348,2,0,2,95.0,21.1,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,417249,L3,5,2,348,2,0,2,94.1,21.3,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,455555,L2,2,0,348,2,0,2,94.0,21.3,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,506656,L1,1,2,348,2,0,2,94.5,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,89296,L2,2,1,348,2,0,2,93.4,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,14439,L4,14,0,348,3,0,3,113.0,26.5,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,274066,L3,5,2,348,2,0,2,93.2,21.5,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,497344,L1,1,0,348,2,0,2,93.1,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,274066,L3,5,0,348,2,0,2,93.5,21.4,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,450303,L3,6,1,348,2,0,2,92.9,21.5,False,False,complete,6,ok,True
qwen3vl4b,instruct,main,111086,L3,4,2,348,2,0,2,93.1,21.5,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,390826,L1,1,0,348,2,0,2,93.4,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,464824,L1,1,0,348,2,0,2,93.2,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,464824,L1,1,2,348,2,0,2,93.3,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,132544,L4,10,2,348,2,0,2,93.2,21.5,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,295420,L1,1,2,348,2,0,2,92.6,21.6,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,323496,L3,6,0,348,2,0,2,93.5,21.4,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,84477,L1,1,2,348,2,0,2,93.0,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,18150,L2,2,2,348,2,0,2,93.1,21.5,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,224664,L4,8,1,348,2,0,2,93.3,21.4,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,36936,L2,2,2,348,2,0,2,92.9,21.5,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,481390,L4,14,2,348,3,0,3,113.1,26.5,False,False,complete,12,ok,False
qwen3vl4b,instruct,main,170613,L2,2,0,348,2,0,2,92.6,21.6,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,96493,L1,1,0,348,2,0,2,93.5,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,507037,L4,14,0,348,3,0,3,113.0,26.5,False,False,complete,13,ok,False
qwen3vl4b,instruct,main,74200,L3,6,2,348,2,0,2,92.7,21.6,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,89648,L4,11,2,348,3,0,3,112.9,26.6,False,False,complete,12,ok,False
qwen3vl4b,instruct,main,554595,L1,1,2,348,2,0,2,93.2,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,464824,L1,1,1,348,2,0,2,97.6,20.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,188296,L3,7,1,348,2,0,2,95.1,21.0,False,False,complete,8,ok,False
qwen3vl4b,instruct,main,295420,L1,1,1,348,2,0,2,93.2,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,561256,L1,1,1,348,2,0,2,93.1,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,442456,L2,2,1,348,2,0,2,92.9,21.5,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,122672,L1,1,1,348,2,0,2,93.4,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,139077,L1,1,2,348,2,0,2,93.7,21.3,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,2006,L2,3,1,348,2,0,2,94.0,21.3,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,285047,L1,1,1,348,2,0,2,95.5,21.0,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,82715,L1,1,0,348,2,0,2,93.9,21.3,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,568195,L2,3,0,348,2,0,2,93.8,21.3,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,528314,L4,9,0,348,3,0,3,113.8,26.4,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,366884,L1,1,0,348,2,0,2,94.1,21.3,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,481390,L4,14,0,348,3,0,3,113.7,26.4,False,False,complete,12,ok,False
qwen3vl4b,instruct,main,111086,L3,4,1,348,2,0,2,94.9,21.1,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,246883,L2,2,2,348,2,0,2,93.2,21.5,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,359833,L1,1,0,348,2,0,2,93.0,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,84477,L1,1,1,348,2,0,2,93.1,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,14439,L4,14,1,348,3,0,3,113.2,26.5,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,55167,L3,6,0,348,2,0,2,92.6,21.6,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,111086,L3,4,0,348,2,0,2,93.1,21.5,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,173799,L2,2,2,348,2,0,2,93.1,21.5,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,500478,L4,14,2,348,3,0,3,112.8,26.6,False,False,complete,12,ok,False
qwen3vl4b,instruct,main,265816,L1,1,0,348,2,0,2,92.9,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,568195,L2,3,1,348,2,0,2,93.4,21.4,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,394199,L1,1,2,348,2,0,2,92.8,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,3255,L3,6,0,348,2,0,2,94.6,21.1,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,102820,L1,1,1,348,2,0,2,93.3,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,62355,L3,5,0,348,2,0,2,93.6,21.4,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,25386,L2,3,0,348,2,0,2,93.7,21.3,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,188296,L3,7,0,348,2,0,2,93.2,21.5,False,False,complete,8,ok,False
qwen3vl4b,instruct,main,98287,L4,14,0,348,3,0,3,113.9,26.3,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,265816,L1,1,2,348,2,0,2,95.9,20.9,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,220764,L1,1,1,348,2,0,2,93.0,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,208363,L4,14,1,348,3,0,3,112.8,26.6,False,False,complete,15,ok,False
qwen3vl4b,instruct,main,357816,L3,4,1,348,2,0,2,92.9,21.5,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,497344,L1,1,2,348,2,0,2,93.3,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,554002,L4,10,1,348,2,0,2,93.4,21.4,False,False,complete,6,ok,False
qwen3vl4b,instruct,main,277020,L3,4,1,348,2,0,2,93.0,21.5,False,False,complete,4,ok,True
qwen3vl4b,instruct,main,327701,L3,4,1,348,2,0,2,93.3,21.4,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,309173,L1,1,2,348,2,0,2,93.7,21.3,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,89296,L2,2,2,348,2,0,2,93.3,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,442456,L2,2,0,348,2,0,2,93.5,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,548246,L3,4,2,348,2,0,2,93.6,21.4,False,False,complete,4,ok,True
qwen3vl4b,instruct,main,470924,L4,14,0,348,2,0,2,93.4,21.4,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,192670,L4,9,1,348,2,0,2,93.7,21.3,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,269121,L1,1,0,348,2,0,2,96.3,20.8,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,425906,L4,13,0,348,3,0,3,113.6,26.4,False,False,complete,12,ok,False
qwen3vl4b,instruct,main,153529,L4,8,0,348,2,0,2,92.9,21.5,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,269121,L1,1,1,348,2,0,2,93.2,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,62355,L3,5,2,348,2,0,2,93.9,21.3,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,332570,L1,1,1,348,2,0,2,94.5,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,507037,L4,14,1,348,3,0,3,113.2,26.5,False,False,complete,13,ok,False
qwen3vl4b,instruct,main,507037,L4,14,2,348,3,0,3,112.6,26.6,False,False,complete,13,ok,False
qwen3vl4b,instruct,main,480985,L4,8,1,348,2,0,2,93.1,21.5,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,535608,L3,5,2,348,2,0,2,93.5,21.4,False,False,complete,5,ok,True
qwen3vl4b,instruct,main,465836,L2,3,0,348,2,0,2,93.6,21.4,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,188296,L3,7,2,348,2,0,2,93.2,21.5,False,False,complete,8,ok,False
qwen3vl4b,instruct,main,542127,L4,14,2,348,3,0,3,113.3,26.5,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,269121,L1,1,2,348,2,0,2,93.1,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,357748,L3,4,1,348,2,0,2,93.5,21.4,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,554595,L1,1,0,348,2,0,2,93.4,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,473869,L1,1,1,348,2,0,2,93.4,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,566923,L4,10,2,348,3,0,3,113.9,26.3,False,False,complete,10,ok,True
qwen3vl4b,instruct,main,114049,L3,6,0,348,2,0,2,93.1,21.5,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,417249,L3,5,1,348,2,0,2,93.5,21.4,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,416451,L2,2,2,348,2,0,2,93.1,21.5,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,465180,L3,6,0,348,2,0,2,93.4,21.4,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,127270,L3,5,2,348,2,0,2,93.9,21.3,False,False,complete,6,ok,False
qwen3vl4b,instruct,main,25386,L2,3,1,348,2,0,2,93.0,21.5,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,213547,L2,2,0,348,2,0,2,93.6,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,535608,L3,5,1,348,2,0,2,93.9,21.3,False,False,complete,5,ok,True
qwen3vl4b,instruct,main,561256,L1,1,2,348,2,0,2,93.6,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,153529,L4,8,1,348,2,0,2,93.4,21.4,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,192670,L4,9,0,348,2,0,2,93.2,21.5,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,361586,L3,4,2,348,2,0,2,93.9,21.3,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,277020,L3,4,2,348,2,0,2,93.9,21.3,False,False,complete,4,ok,True
qwen3vl4b,instruct,main,548246,L3,4,0,348,2,0,2,93.5,21.4,False,False,complete,4,ok,True
qwen3vl4b,instruct,main,354307,L1,1,0,348,2,0,2,94.4,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,18150,L2,2,1,348,2,0,2,93.7,21.3,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,154087,L3,4,2,348,2,0,2,93.6,21.4,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,450303,L3,6,2,348,2,0,2,92.0,21.7,False,False,complete,6,ok,True
qwen3vl4b,instruct,main,402774,L1,1,1,348,2,0,2,93.0,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,31093,L2,3,0,348,2,0,2,93.7,21.4,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,417249,L3,5,0,348,2,0,2,93.8,21.3,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,3255,L3,6,2,348,2,0,2,93.5,21.4,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,192670,L4,9,2,348,2,0,2,93.3,21.4,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,471789,L4,12,0,348,2,0,2,93.7,21.4,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,303863,L3,7,0,348,2,0,2,93.5,21.4,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,537270,L2,3,2,348,2,0,2,93.7,21.3,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,473869,L1,1,0,348,2,0,2,93.4,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,213547,L2,2,1,348,2,0,2,93.4,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,3553,L1,1,2,348,2,0,2,93.8,21.3,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,415748,L1,1,0,348,2,0,2,93.7,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,74200,L3,6,0,348,2,0,2,93.6,21.4,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,354307,L1,1,1,348,2,0,2,93.1,21.5,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,465180,L3,6,2,348,2,0,2,93.8,21.3,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,157756,L4,10,2,348,2,0,2,93.8,21.3,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,427338,L2,2,1,348,2,0,2,93.4,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,411754,L3,5,1,348,2,0,2,93.4,21.4,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,416451,L2,2,0,348,2,0,2,93.7,21.4,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,377588,L3,6,1,348,2,0,2,93.8,21.3,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,427338,L2,2,0,348,2,0,2,93.7,21.4,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,473869,L1,1,2,348,2,0,2,93.5,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,89648,L4,11,1,348,3,0,3,113.5,26.4,False,False,complete,12,ok,False
qwen3vl4b,instruct,main,117719,L1,1,1,348,2,0,2,93.4,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,130699,L3,7,2,348,2,0,2,93.4,21.4,False,False,complete,6,ok,False
qwen3vl4b,instruct,main,361147,L4,9,1,348,2,0,2,93.6,21.4,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,477441,L2,3,2,348,2,0,2,93.2,21.5,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,117425,L2,3,0,348,2,0,2,93.9,21.3,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,528314,L4,9,1,348,3,0,3,113.4,26.5,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,1761,L3,5,1,348,2,0,2,92.9,21.5,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,2006,L2,3,2,348,2,0,2,93.6,21.4,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,117425,L2,3,1,348,2,0,2,94.1,21.2,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,415748,L1,1,1,348,2,0,2,93.3,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,537270,L2,3,1,348,2,0,2,93.6,21.4,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,284764,L1,1,0,348,2,0,2,95.0,21.1,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,455555,L2,2,1,348,2,0,2,94.0,21.3,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,6771,L4,8,1,348,2,0,2,93.5,21.4,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,188465,L4,14,0,348,3,0,3,113.6,26.4,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,132544,L4,10,0,348,2,0,2,92.8,21.6,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,301563,L2,3,0,348,2,0,2,94.5,21.2,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,25386,L2,3,2,348,2,0,2,94.1,21.3,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,127270,L3,5,1,348,2,0,2,93.8,21.3,False,False,complete,6,ok,False
qwen3vl4b,instruct,main,500478,L4,14,0,348,3,0,3,118.7,25.3,False,False,complete,12,ok,False
qwen3vl4b,instruct,main,165681,L4,12,2,348,2,0,2,97.2,20.6,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,357748,L3,4,0,348,2,0,2,94.1,21.3,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,566923,L4,10,1,348,3,0,3,114.3,26.2,False,False,complete,10,ok,True
qwen3vl4b,instruct,main,366884,L1,1,1,348,2,0,2,93.7,21.4,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,117719,L1,1,2,348,2,0,2,94.4,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,139077,L1,1,0,348,2,0,2,94.2,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,83172,L2,3,2,348,2,0,2,94.1,21.3,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,301563,L2,3,2,348,2,0,2,95.1,21.0,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,126137,L4,13,2,348,3,0,3,115.1,26.1,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,511647,L1,1,2,348,2,0,2,94.7,21.1,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,132544,L4,10,1,348,2,0,2,97.2,20.6,False,False,complete,7,ok,False
qwen3vl4b,instruct,main,327701,L3,4,2,348,2,0,2,94.2,21.2,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,36936,L2,2,0,348,2,0,2,94.2,21.2,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,180487,L2,2,1,348,2,0,2,94.4,21.2,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,465836,L2,3,2,348,2,0,2,94.5,21.2,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,3255,L3,6,1,348,2,0,2,95.1,21.0,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,130699,L3,7,1,348,2,0,2,94.4,21.2,False,False,complete,6,ok,False
qwen3vl4b,instruct,main,14439,L4,14,2,348,3,0,3,115.9,25.9,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,224664,L4,8,2,348,2,0,2,93.8,21.3,False,False,complete,2,ok,False
qwen3vl4b,instruct,main,122672,L1,1,2,348,2,0,2,94.4,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,562207,L2,3,1,348,2,0,2,93.9,21.3,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,411754,L3,5,2,348,2,0,2,94.4,21.2,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,201426,L2,2,1,348,2,0,2,94.2,21.2,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,84477,L1,1,0,348,2,0,2,94.5,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,231580,L3,7,0,348,2,0,2,94.3,21.2,False,False,complete,7,ok,True
qwen3vl4b,instruct,main,442456,L2,2,2,348,2,0,2,94.3,21.2,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,1761,L3,5,0,348,2,0,2,94.8,21.1,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,126137,L4,13,1,348,3,0,3,114.4,26.2,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,562207,L2,3,0,348,2,0,2,94.0,21.3,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,231580,L3,7,1,348,2,0,2,94.0,21.3,False,False,complete,7,ok,True
qwen3vl4b,instruct,main,268378,L4,9,2,348,3,0,3,114.3,26.3,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,303863,L3,7,1,348,2,0,2,94.0,21.3,False,False,complete,3,ok,False
qwen3vl4b,instruct,main,246883,L2,2,0,348,2,0,2,94.6,21.2,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,285047,L1,1,2,348,2,0,2,94.1,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,170613,L2,2,1,348,2,0,2,94.8,21.1,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,359833,L1,1,2,348,2,0,2,94.7,21.1,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,268378,L4,9,0,348,3,0,3,114.4,26.2,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,180487,L2,2,2,348,2,0,2,93.9,21.3,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,36539,L2,2,1,348,2,0,2,95.0,21.1,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,36936,L2,2,1,348,2,0,2,94.0,21.3,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,159791,L4,8,2,348,2,0,2,95.5,20.9,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,511647,L1,1,0,348,2,0,2,94.9,21.1,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,477805,L2,2,1,348,2,0,2,94.7,21.1,False,False,complete,1,ok,False
qwen3vl4b,instruct,main,357816,L3,4,0,348,2,0,2,94.4,21.2,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,535608,L3,5,0,348,2,0,2,94.5,21.2,False,False,complete,5,ok,True
qwen3vl4b,instruct,main,295420,L1,1,0,348,2,0,2,94.9,21.1,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,528314,L4,9,2,348,3,0,3,114.5,26.2,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,173799,L2,2,0,348,2,0,2,93.8,21.3,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,309173,L1,1,1,348,2,0,2,94.7,21.1,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,323496,L3,6,2,348,2,0,2,94.6,21.2,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,82715,L1,1,2,348,2,0,2,94.4,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,159791,L4,8,1,348,2,0,2,94.4,21.2,False,False,complete,0,ok,False
qwen3vl4b,instruct,main,542127,L4,14,0,348,3,0,3,114.2,26.3,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,127270,L3,5,0,348,2,0,2,93.9,21.3,False,False,complete,6,ok,False
qwen3vl4b,instruct,main,274066,L3,5,1,348,2,0,2,94.4,21.2,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,82715,L1,1,1,348,2,0,2,94.6,21.2,False,False,complete,1,ok,True
qwen3vl4b,instruct,main,114049,L3,6,1,348,2,0,2,94.7,21.1,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,465180,L3,6,1,348,2,0,2,94.3,21.2,False,False,complete,5,ok,False
qwen3vl4b,instruct,main,427338,L2,2,2,348,2,0,2,94.0,21.3,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,330396,L3,5,0,348,2,0,2,94.8,21.1,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,44590,L4,12,2,348,3,0,3,114.6,26.2,False,False,complete,10,ok,False
qwen3vl4b,instruct,main,208363,L4,14,0,348,3,0,3,113.9,26.3,False,False,complete,15,ok,False
qwen3vl4b,instruct,main,377393,L4,10,2,348,2,0,2,96.3,20.8,False,False,complete,1,ok,False
qwen3vl4b,instruct,main,36539,L2,2,0,348,2,0,2,94.9,21.1,False,False,complete,2,ok,True
qwen3vl4b,instruct,main,62355,L3,5,1,348,2,0,2,94.1,21.3,False,False,complete,4,ok,False
qwen3vl4b,instruct,main,301563,L2,3,1,348,2,0,2,94.5,21.2,False,False,complete,3,ok,True
qwen3vl4b,instruct,main,332570,L1,1,2,348,2,0,2,94.6,21.1,False,False,complete,1,ok,True
