model,image_id,level,n_persons_gt,mode,rep,n_input,n_generated,latency_ms,budget_hit,parsed_answer,parse_status,correct
qwenvl7b,208363,L4,14,direct,2,440,3,204.8,False,15,ok,False
qwenvl7b,153529,L4,8,stepwise,1,469,157,4203.5,False,5,ok,False
qwenvl7b,188296,L3,7,direct,2,440,2,179.6,False,6,ok,False
qwenvl7b,224664,L4,8,stepwise,2,469,136,3665.4,False,5,fallback_last_number,False
qwenvl7b,402774,L1,1,stepwise,1,469,49,1397.7,False,1,ok,True
qwenvl7b,180487,L2,2,stepwise,2,469,116,3135.1,False,2,ok,True
qwenvl7b,265816,L1,1,direct,2,440,2,179.2,False,1,ok,True
qwenvl7b,153529,L4,8,direct,0,440,2,181.1,False,5,ok,False
qwenvl7b,188296,L3,7,stepwise,0,469,144,3870.2,False,6,ok,False
qwenvl7b,213547,L2,2,stepwise,2,469,85,2328.7,False,2,ok,True
qwenvl7b,416451,L2,2,direct,1,440,2,179.8,False,3,ok,False
qwenvl7b,44590,L4,12,stepwise,2,469,103,2807.3,False,4,ok,False
qwenvl7b,89648,L4,11,direct,0,440,3,206.1,False,10,ok,False
qwenvl7b,568195,L2,3,stepwise,0,469,86,2360.3,False,3,ok,True
qwenvl7b,170613,L2,2,stepwise,2,469,103,2791.5,False,2,ok,True
qwenvl7b,132544,L4,10,direct,0,440,2,179.6,False,5,ok,False
qwenvl7b,506656,L1,1,direct,0,440,2,179.9,False,1,ok,True
qwenvl7b,159791,L4,8,stepwise,2,469,53,1502.5,False,0,ok,False
qwenvl7b,122672,L1,1,direct,2,440,2,179.0,False,1,ok,True
qwenvl7b,537270,L2,3,direct,2,440,2,180.5,False,3,ok,True
qwenvl7b,535608,L3,5,direct,0,440,2,180.1,False,5,ok,True
qwenvl7b,470924,L4,14,direct,1,440,2,180.3,False,5,ok,False
qwenvl7b,528314,L4,9,direct,1,440,3,206.6,False,12,ok,False
qwenvl7b,220764,L1,1,direct,0,440,2,179.6,False,1,ok,True
qwenvl7b,548246,L3,4,stepwise,0,469,131,3532.0,False,4,ok,True
qwenvl7b,130699,L3,7,direct,1,440,2,179.2,False,6,ok,False
qwenvl7b,284764,L1,1,direct,2,440,2,179.5,False,1,ok,True
qwenvl7b,427338,L2,2,stepwise,1,469,84,2304.9,False,2,ok,True
qwenvl7b,471789,L4,12,stepwise,0,469,120,3251.0,False,8,ok,False
qwenvl7b,126137,L4,13,direct,1,440,3,206.0,False,10,ok,False
qwenvl7b,132544,L4,10,stepwise,2,469,170,4554.7,False,3,ok,False
qwenvl7b,471789,L4,12,direct,1,440,2,180.2,False,8,ok,False
qwenvl7b,361586,L3,4,direct,0,440,2,181.7,False,7,ok,False
qwenvl7b,208363,L4,14,direct,1,440,3,208.3,False,15,ok,False
qwenvl7b,402774,L1,1,direct,2,440,2,180.6,False,1,ok,True
qwenvl7b,477805,L2,2,direct,2,440,2,179.6,False,1,ok,False
qwenvl7b,82715,L1,1,stepwise,2,469,42,1219.7,False,1,ok,True
qwenvl7b,450303,L3,6,stepwise,1,469,107,2908.7,False,5,ok,False
qwenvl7b,561256,L1,1,stepwise,2,469,78,2155.0,False,1,ok,True
qwenvl7b,274066,L3,5,direct,1,440,2,180.1,False,4,ok,False
qwenvl7b,507037,L4,14,direct,2,440,3,206.5,False,15,ok,False
qwenvl7b,274066,L3,5,stepwise,1,469,144,3865.9,False,3,ok,False
qwenvl7b,507037,L4,14,direct,1,440,3,207.6,False,15,ok,False
qwenvl7b,246883,L2,2,stepwise,1,469,108,2920.8,False,2,ok,True
qwenvl7b,117719,L1,1,stepwise,2,469,77,2121.7,False,1,ok,True
qwenvl7b,578489,L3,7,direct,2,440,2,180.6,False,6,ok,False
qwenvl7b,480985,L4,8,stepwise,2,469,176,4721.5,False,2,ok,False
qwenvl7b,309173,L1,1,stepwise,0,469,45,1298.8,False,0,ok,False
qwenvl7b,377393,L4,10,direct,1,440,3,205.3,False,10,ok,True
qwenvl7b,377393,L4,10,stepwise,2,469,163,4357.9,False,0,ok,False
qwenvl7b,220764,L1,1,direct,1,440,2,179.9,False,1,ok,True
qwenvl7b,188465,L4,14,stepwise,2,469,246,6542.5,False,5,ok,False
qwenvl7b,415748,L1,1,direct,2,440,2,180.1,False,1,ok,True
qwenvl7b,132544,L4,10,stepwise,0,469,170,4546.6,False,3,ok,False
qwenvl7b,169076,L2,2,stepwise,2,469,96,2620.0,False,2,ok,True
qwenvl7b,554595,L1,1,direct,0,440,2,180.0,False,1,ok,True
qwenvl7b,89648,L4,11,direct,2,440,3,206.9,False,10,ok,False
qwenvl7b,139077,L1,1,stepwise,1,469,66,1831.0,False,1,ok,True
qwenvl7b,231580,L3,7,stepwise,1,469,163,4363.4,False,7,ok,True
qwenvl7b,83172,L2,3,stepwise,2,469,97,2650.1,False,3,ok,True
qwenvl7b,3255,L3,6,stepwise,0,469,71,1972.4,False,4,ok,False
qwenvl7b,122672,L1,1,direct,0,440,2,179.5,False,1,ok,True
qwenvl7b,427338,L2,2,stepwise,2,469,84,2300.8,False,2,ok,True
qwenvl7b,497344,L1,1,stepwise,0,469,21,670.8,False,1,ok,True
qwenvl7b,98287,L4,14,stepwise,2,469,111,3015.2,False,3,ok,False
qwenvl7b,477805,L2,2,direct,1,440,2,179.9,False,1,ok,False
qwenvl7b,427338,L2,2,stepwise,0,469,84,2303.8,False,2,ok,True
qwenvl7b,537270,L2,3,stepwise,2,469,130,3509.5,False,3,ok,True
qwenvl7b,83172,L2,3,stepwise,0,469,97,2650.3,False,3,ok,True
qwenvl7b,394199,L1,1,direct,2,440,2,180.2,False,1,ok,True
qwenvl7b,284764,L1,1,stepwise,1,469,55,1559.5,False,1,ok,True
qwenvl7b,70739,L2,3,stepwise,0,469,143,3836.4,False,2,ok,False
qwenvl7b,173799,L2,2,stepwise,1,469,114,3081.9,False,2,ok,True
qwenvl7b,366884,L1,1,direct,1,440,2,179.8,False,1,ok,True
qwenvl7b,450303,L3,6,direct,2,440,2,180.2,False,5,ok,False
qwenvl7b,1761,L3,5,stepwise,1,469,36,1059.0,False,0,ok,False
qwenvl7b,277020,L3,4,stepwise,2,469,134,3603.0,False,3,ok,False
qwenvl7b,32334,L3,5,stepwise,2,469,121,3280.8,False,4,ok,False
qwenvl7b,268378,L4,9,direct,0,440,2,179.9,False,9,ok,True
qwenvl7b,357748,L3,4,direct,2,440,2,180.7,False,3,ok,False
qwenvl7b,506656,L1,1,stepwise,0,469,52,1478.7,False,1,ok,True
qwenvl7b,188296,L3,7,direct,1,440,2,179.4,False,6,ok,False
qwenvl7b,180487,L2,2,stepwise,1,469,116,3145.9,False,2,ok,True
qwenvl7b,70739,L2,3,direct,2,440,2,179.7,False,2,ok,False
qwenvl7b,390826,L1,1,stepwise,2,469,89,2431.1,False,1,ok,True
qwenvl7b,83172,L2,3,direct,2,440,2,180.2,False,3,ok,True
qwenvl7b,330396,L3,5,direct,0,440,2,181.7,False,5,ok,True
qwenvl7b,173799,L2,2,direct,2,440,2,181.3,False,2,ok,True
qwenvl7b,394199,L1,1,stepwise,1,469,58,1634.8,False,1,ok,True
qwenvl7b,359833,L1,1,direct,0,440,2,179.4,False,1,ok,True
qwenvl7b,415748,L1,1,stepwise,0,469,80,2206.3,False,1,ok,True
qwenvl7b,361586,L3,4,stepwise,2,469,125,3372.9,False,4,ok,True
qwenvl7b,62355,L3,5,stepwise,2,469,85,2332.9,False,4,ok,False
qwenvl7b,83172,L2,3,direct,0,440,2,180.0,False,3,ok,True
qwenvl7b,470924,L4,14,stepwise,2,469,121,3261.1,False,4,ok,False
qwenvl7b,361147,L4,9,direct,0,440,2,179.7,False,8,ok,False
qwenvl7b,192670,L4,9,stepwise,1,469,75,2067.2,False,5,ok,False
qwenvl7b,154087,L3,4,direct,2,440,2,179.7,False,4,ok,True
qwenvl7b,3255,L3,6,direct,2,440,2,180.0,False,5,ok,False
qwenvl7b,465180,L3,6,stepwise,0,469,131,3529.4,False,4,ok,False
qwenvl7b,394199,L1,1,stepwise,2,469,58,1624.7,False,1,ok,True
qwenvl7b,154087,L3,4,stepwise,2,469,154,4125.0,False,3,ok,False
qwenvl7b,25386,L2,3,stepwise,1,469,125,3367.5,False,2,ok,False
qwenvl7b,165681,L4,12,stepwise,1,469,125,3379.3,False,1,ok,False
qwenvl7b,3553,L1,1,direct,0,440,2,179.6,False,1,ok,True
qwenvl7b,330396,L3,5,stepwise,1,469,144,3865.1,False,6,ok,False
qwenvl7b,471789,L4,12,direct,2,440,2,179.9,False,8,ok,False
qwenvl7b,130699,L3,7,direct,2,440,2,181.0,False,6,ok,False
qwenvl7b,170613,L2,2,direct,2,440,2,183.2,False,2,ok,True
qwenvl7b,55167,L3,6,direct,0,440,2,181.7,False,4,ok,False
qwenvl7b,473869,L1,1,direct,0,440,2,181.0,False,1,ok,True
qwenvl7b,111086,L3,4,direct,1,440,2,179.5,False,2,ok,False
qwenvl7b,153529,L4,8,stepwise,2,469,157,4211.8,False,5,ok,False
qwenvl7b,3553,L1,1,direct,1,440,2,179.7,False,1,ok,True
qwenvl7b,548246,L3,4,direct,1,440,2,179.4,False,4,ok,True
qwenvl7b,415748,L1,1,direct,0,440,2,180.4,False,1,ok,True
qwenvl7b,36936,L2,2,direct,1,440,2,181.0,False,2,ok,True
qwenvl7b,6771,L4,8,direct,2,440,2,181.4,False,7,ok,False
qwenvl7b,102820,L1,1,direct,2,440,2,179.7,False,1,ok,True
qwenvl7b,390826,L1,1,direct,1,440,2,179.8,False,1,ok,True
qwenvl7b,561256,L1,1,stepwise,1,469,78,2148.7,False,1,ok,True
qwenvl7b,96493,L1,1,stepwise,2,469,69,1915.6,False,1,ok,True
qwenvl7b,1584,L4,11,stepwise,1,469,127,3420.4,False,0,ok,False
qwenvl7b,284764,L1,1,stepwise,2,469,55,1547.2,False,1,ok,True
qwenvl7b,561256,L1,1,direct,0,440,2,179.1,False,1,ok,True
qwenvl7b,74200,L3,6,stepwise,2,469,28,854.7,False,0,ok,False
qwenvl7b,301563,L2,3,stepwise,2,469,71,1970.3,False,3,ok,True
qwenvl7b,159791,L4,8,stepwise,0,469,53,1499.5,False,0,ok,False
qwenvl7b,327701,L3,4,direct,1,440,2,179.8,False,3,ok,False
qwenvl7b,425906,L4,13,stepwise,0,469,89,2435.8,False,11,ok,False
qwenvl7b,89296,L2,2,stepwise,2,469,114,3085.7,False,2,ok,True
qwenvl7b,25386,L2,3,direct,1,440,2,179.5,False,2,ok,False
qwenvl7b,480985,L4,8,direct,2,440,2,179.7,False,6,ok,False
qwenvl7b,201426,L2,2,direct,1,440,2,179.8,False,2,ok,True
qwenvl7b,554002,L4,10,stepwise,2,469,117,3168.3,False,5,ok,False
qwenvl7b,477805,L2,2,direct,0,440,2,179.7,False,1,ok,False
qwenvl7b,180487,L2,2,direct,1,440,2,181.9,False,2,ok,True
qwenvl7b,117425,L2,3,direct,2,440,2,184.3,False,2,ok,False
qwenvl7b,55167,L3,6,stepwise,1,469,137,3686.1,False,1,ok,False
qwenvl7b,284764,L1,1,direct,1,440,2,178.6,False,1,ok,True
qwenvl7b,390826,L1,1,stepwise,0,469,89,2432.4,False,1,ok,True
qwenvl7b,285047,L1,1,direct,1,440,2,179.5,False,1,ok,True
qwenvl7b,102820,L1,1,stepwise,0,469,64,1781.8,False,1,ok,True
qwenvl7b,126137,L4,13,direct,0,440,3,206.1,False,10,ok,False
qwenvl7b,425906,L4,13,stepwise,2,469,89,2431.0,False,11,ok,False
qwenvl7b,213547,L2,2,stepwise,0,469,85,2327.1,False,2,ok,True
qwenvl7b,285047,L1,1,stepwise,1,469,79,2173.5,False,1,ok,True
qwenvl7b,465180,L3,6,direct,1,440,2,179.6,False,5,ok,False
qwenvl7b,427338,L2,2,direct,0,440,2,180.5,False,2,ok,True
qwenvl7b,568195,L2,3,stepwise,1,469,86,2358.8,False,3,ok,True
qwenvl7b,473869,L1,1,stepwise,0,469,69,1911.7,False,1,ok,True
qwenvl7b,122672,L1,1,stepwise,1,469,65,1811.4,False,1,ok,True
qwenvl7b,566923,L4,10,direct,1,440,3,204.8,False,10,ok,True
qwenvl7b,1584,L4,11,stepwise,2,469,127,3422.2,False,0,ok,False
qwenvl7b,377588,L3,6,stepwise,1,469,143,3837.8,False,5,ok,False
qwenvl7b,473869,L1,1,direct,1,440,2,178.7,False,1,ok,True
qwenvl7b,84477,L1,1,stepwise,0,469,96,2610.7,False,1,ok,True
qwenvl7b,117425,L2,3,stepwise,1,469,92,2510.7,False,2,ok,False
qwenvl7b,578489,L3,7,stepwise,1,469,179,4770.5,False,6,ok,False
qwenvl7b,402774,L1,1,stepwise,2,469,49,1392.2,False,1,ok,True
qwenvl7b,497344,L1,1,stepwise,2,469,21,668.5,False,1,ok,True
qwenvl7b,354307,L1,1,direct,2,440,2,179.9,False,1,ok,True
qwenvl7b,169076,L2,2,stepwise,1,469,96,2617.0,False,2,ok,True
qwenvl7b,442456,L2,2,stepwise,1,469,66,1832.4,False,2,ok,True
qwenvl7b,284764,L1,1,stepwise,0,469,55,1547.0,False,1,ok,True
qwenvl7b,220764,L1,1,stepwise,0,469,93,2537.1,False,1,ok,True
qwenvl7b,126137,L4,13,stepwise,0,469,144,3860.0,False,7,ok,False
qwenvl7b,55167,L3,6,stepwise,2,469,137,3679.7,False,1,ok,False
qwenvl7b,159791,L4,8,stepwise,1,469,53,1496.0,False,0,ok,False
qwenvl7b,130699,L3,7,stepwise,2,469,163,4354.8,False,6,ok,False
qwenvl7b,442456,L2,2,stepwise,0,469,66,1834.9,False,2,ok,True
qwenvl7b,394199,L1,1,direct,0,440,2,178.4,False,1,ok,True
qwenvl7b,154087,L3,4,direct,0,440,2,179.1,False,4,ok,True
qwenvl7b,208363,L4,14,stepwise,0,469,191,5087.0,False,16,ok,False
qwenvl7b,246883,L2,2,stepwise,0,469,108,2923.9,False,2,ok,True
qwenvl7b,506656,L1,1,direct,2,440,2,179.3,False,1,ok,True
qwenvl7b,44590,L4,12,stepwise,0,469,103,2796.5,False,4,ok,False
qwenvl7b,213547,L2,2,stepwise,1,469,85,2322.8,False,2,ok,True
qwenvl7b,301563,L2,3,stepwise,0,469,71,1965.0,False,3,ok,True
qwenvl7b,44590,L4,12,direct,2,440,3,205.1,False,12,ok,True
qwenvl7b,481390,L4,14,stepwise,1,469,512,13556.7,True,32,fallback_last_number,False
qwenvl7b,274066,L3,5,stepwise,2,469,144,3857.6,False,3,ok,False
qwenvl7b,361147,L4,9,stepwise,2,469,190,5057.5,False,3,ok,False
qwenvl7b,122672,L1,1,stepwise,2,469,65,1805.9,False,1,ok,True
qwenvl7b,89296,L2,2,direct,0,440,2,179.3,False,2,ok,True
qwenvl7b,25386,L2,3,stepwise,2,469,125,3365.2,False,2,ok,False
qwenvl7b,74200,L3,6,direct,1,440,2,179.5,False,0,ok,False
qwenvl7b,465836,L2,3,stepwise,0,469,90,2455.2,False,3,ok,True
qwenvl7b,377393,L4,10,direct,2,440,3,204.8,False,10,ok,True
qwenvl7b,527528,L2,2,stepwise,0,469,80,2194.7,False,0,ok,False
qwenvl7b,450303,L3,6,stepwise,0,469,107,2898.3,False,5,ok,False
qwenvl7b,535608,L3,5,stepwise,0,469,82,2247.4,False,4,ok,False
qwenvl7b,159791,L4,8,direct,1,440,2,181.8,False,0,ok,False
qwenvl7b,527528,L2,2,direct,0,440,2,180.5,False,0,ok,False
qwenvl7b,477805,L2,2,stepwise,2,469,47,1343.8,False,1,ok,False
qwenvl7b,277020,L3,4,direct,1,440,2,179.2,False,3,ok,False
qwenvl7b,303863,L3,7,direct,1,440,2,178.7,False,4,ok,False
qwenvl7b,6771,L4,8,direct,1,440,2,179.2,False,7,ok,False
